2021-12-07 10:26:18,793 	0	-650
2021-12-07 10:26:47,695 	10	-650
2021-12-07 10:27:14,093 	20	-650
2021-12-07 10:27:41,675 	30	-644
2021-12-07 10:28:07,316 	40	-644
2021-12-07 10:28:32,277 	50	-644
2021-12-07 10:28:57,709 	60	-644
2021-12-07 10:29:23,675 	70	-644
2021-12-07 10:29:48,277 	80	-644
2021-12-07 10:30:16,631 	90	-530
2021-12-07 10:30:41,949 	100	-530
2021-12-07 10:31:06,591 	110	-530
2021-12-07 10:31:32,821 	120	-530
2021-12-07 10:31:59,966 	130	-530
2021-12-07 10:32:25,722 	140	-530
2021-12-07 10:32:52,717 	150	-530
2021-12-07 10:33:22,306 	160	-390
2021-12-07 10:33:47,371 	170	-390
2021-12-07 10:34:12,482 	180	-390
2021-12-07 10:34:37,312 	190	-390
2021-12-07 10:35:03,944 	200	-390
2021-12-07 10:35:30,999 	210	-390
2021-12-07 10:35:57,693 	220	-390
2021-12-07 10:36:23,233 	230	-390
2021-12-07 10:36:48,849 	240	-390
2021-12-07 10:37:15,514 	250	-390
2021-12-07 10:37:40,614 	260	-390
2021-12-07 10:38:07,344 	270	-390
2021-12-07 10:38:33,171 	280	-390
2021-12-07 10:38:59,546 	290	-390
2021-12-07 10:39:25,794 	300	-390
2021-12-07 10:39:50,927 	310	-390
2021-12-07 10:40:17,318 	320	-390
2021-12-07 10:40:44,808 	330	-390
2021-12-07 10:41:12,718 	340	-390
2021-12-07 10:41:38,684 	350	-390
2021-12-07 10:42:04,810 	360	-390
2021-12-07 10:42:29,904 	370	-390
2021-12-07 10:42:55,084 	380	-390
2021-12-07 10:43:19,946 	390	-390
2021-12-07 10:43:45,499 	400	-390
2021-12-07 10:44:11,468 	410	-390
2021-12-07 10:44:35,967 	420	-390
2021-12-07 10:45:01,368 	430	-390
2021-12-07 10:45:27,036 	440	-390
2021-12-07 10:45:54,658 	450	-390
2021-12-07 10:46:21,988 	460	-390
2021-12-07 10:46:51,252 	470	-390
2021-12-07 10:47:19,387 	480	-390
2021-12-07 10:47:46,568 	490	-390
2021-12-07 10:48:13,134 	500	-390
2021-12-07 10:48:40,471 	510	-390
2021-12-07 10:49:07,776 	520	-390
2021-12-07 10:49:34,706 	530	-390
2021-12-07 10:50:02,953 	540	-390
2021-12-07 10:50:30,958 	550	-390
2021-12-07 10:50:57,380 	560	-390
2021-12-07 10:51:24,898 	570	-390
2021-12-07 10:51:52,995 	580	-390
2021-12-07 10:52:20,738 	590	-390
2021-12-07 10:52:47,878 	600	-390
2021-12-07 10:53:14,490 	610	-390
2021-12-07 10:53:40,729 	620	-390
2021-12-07 10:54:07,649 	630	-390
2021-12-07 10:54:34,680 	640	-390
2021-12-07 10:55:01,606 	650	-390
2021-12-07 10:55:28,301 	660	-390
2021-12-07 10:55:55,495 	670	-390
2021-12-07 10:56:22,306 	680	-390
2021-12-07 10:56:50,131 	690	-390
2021-12-07 10:57:16,868 	700	-390
2021-12-07 10:57:43,262 	710	-390
2021-12-07 10:58:09,765 	720	-390
2021-12-07 10:58:36,499 	730	-390
2021-12-07 10:59:03,550 	740	-390
2021-12-07 10:59:31,626 	750	-390
2021-12-07 10:59:57,944 	760	-390
2021-12-07 11:00:24,183 	770	-390
2021-12-07 11:00:50,891 	780	-390
2021-12-07 11:01:16,683 	790	-390
2021-12-07 11:01:42,992 	800	-390
2021-12-07 11:02:10,284 	810	-390
2021-12-07 11:02:38,840 	820	-390
2021-12-07 11:03:03,189 	830	-390
2021-12-07 11:03:28,033 	840	-390
2021-12-07 11:03:52,824 	850	-390
2021-12-07 11:04:16,908 	860	-390
2021-12-07 11:04:42,323 	870	-390
2021-12-07 11:05:09,012 	880	-390
2021-12-07 11:05:35,980 	890	-390
2021-12-07 11:06:03,696 	900	-390
2021-12-07 11:06:29,981 	910	-390
2021-12-07 11:06:56,217 	920	-390
2021-12-07 11:07:22,089 	930	-390
2021-12-07 11:07:49,239 	940	-390
2021-12-07 11:08:14,576 	950	-390
2021-12-07 11:08:39,347 	960	-390
2021-12-07 11:09:04,809 	970	-390
2021-12-07 11:09:32,359 	980	-390
2021-12-07 11:09:57,886 	990	-390
